File,Affinity,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,tox21_pca_NR-AhR_SVM_predictions,tox21_pca_NR-AR-LBD_SVM_predictions,tox21_pca_NR-Aromatase_SVM_predictions,tox21_pca_NR-AR_SVM_predictions,tox21_pca_NR-ER-LBD_SVM_predictions,tox21_pca_NR-ER_SVM_predictions,tox21_pca_NR-PPAR-gamma_SVM_predictions,tox21_pca_SR-ARE_SVM_predictions,tox21_pca_SR-ATAD5_SVM_predictions,tox21_pca_SR-HSE_SVM_predictions,tox21_pca_SR-MMP_SVM_predictions,tox21_pca_SR-p53_SVM_predictions,Average Distance
out_10558_EGFR.pdbqt,-8.1,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,2.4031747626569024,-0.97026815,-0.943591867,2.42320116410206,-0.290406488,-0.262075902,1.3810987458535189,-1.12268367,0.0539227851770046,-0.059744676,-1.405682777,-1.672243391,1.6231004815430197,-0.029727287,-0.127279625,-0.049023517,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_10616_EGFR.pdbqt,-8.5,C=CC(=O)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,3.746240651804503,1.5302675955157772,-0.66356145,2.66654285699403,1.1938743413241926,0.6217181293891233,0.7502774579845102,0.8877506435585903,-0.018158766,-1.071676913,-0.274048286,-0.089063422,-0.472646905,-0.357635272,0.4716740452067423,-1.151730605,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_10630_EGFR.pdbqt,-8.9,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCC1COCCN1,3.549620651764592,0.9705744805832456,-0.553906762,2.3932381637913456,1.105971878905061,-0.146065105,0.7649182695103635,-1.27828588,-0.499628392,-1.216721096,-0.118975301,0.9273784050742302,1.006630116917665,0.9462531921849436,0.2953674817374266,-0.995344163,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_10679_EGFR.pdbqt,-8.6,CN(C)CC=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,1.517263073021231,-2.691883526,0.2825757311467614,0.6570793912284345,0.9439789321972044,1.656407443528929,-0.292957089,-1.51421649,0.905698442879763,-0.166241499,-0.118544599,-1.679242786,0.6670858608448621,-0.238154344,-0.209708972,0.5464047008876003,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_11344_EGFR.pdbqt,-7.1,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(NC4=C5C=C5C4)c3cc21,1.9034684213662347,0.8353620423908723,-1.595371319,-0.882835959,2.4682129994394284,0.6619628589038473,1.0206537523242651,0.7869435905389213,-0.988311875,1.8281894547875044,-0.566213092,-0.858993428,-0.410352531,0.5330015611476556,0.5496125500741252,0.3025825634298418,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_11364_EGFR.pdbqt,-8.1,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(NC4=CCC(OC(C)C)=C4)c3cc21,1.920315619371585,0.7708121107589349,-1.772024419,-0.847940992,2.400952787958634,0.6225463818371881,1.0219312849141151,0.8562315470327064,-1.121334227,1.94256584669754,-0.746533468,-0.563653495,-0.518180674,0.2973177342026593,0.386325845999134,0.5903350129211804,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_12013_EGFR.pdbqt,-8.3,CCC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,3.662875219098792,0.840675739642243,-0.955345246,2.4356834250910744,0.9583203652926956,0.0187657840698049,0.9646861075340426,-1.028400151,-0.666370541,-0.748815831,-0.299386078,0.8646557608301242,1.6371675223840965,0.5801554656994846,-0.444828253,-0.275690967,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_12313_EGFR.pdbqt,-8.5,COCCOc1cc2ncnc(Nc3ccc(F)c(C#N)c3)c2cc1NC(=O)C=CCN(C)C,3.640995764572908,-0.804870018,-1.892692569,0.914845691588428,0.2494213244803977,0.2341708692621256,0.7367616105123113,-1.253637215,0.0697764891912034,-0.181056118,-0.614562237,-1.058967638,1.2451206036966178,0.2485019877274807,-0.504826135,-0.406597479,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_12424_EGFR.pdbqt,-9.5,C=CC(=O)Nc1cc2c(Nc3ccc(Cl)c(C(F)(F)F)c3)ncnc2cc1OC1CCOC1,3.2050541703909543,0.4744385546663721,-0.723980204,1.6012355032028454,1.701312963086059,0.0175596876096163,0.3021032347078875,-1.421328266,0.0875017728100571,-1.95513274,-0.148988833,1.4968022425815222,1.198299177454486,0.3626580680149918,-0.08667645,-0.640729015,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_13583_EGFR.pdbqt,-7.4,C=CCN1CC(CCCN2CCOCC2)=Cc2ncnc(Nc3ccc(F)c(Cl)c3)c2C1,2.5824718244248093,1.8637479911285724,0.7813329874483125,2.946498413037405,0.4531476501445782,0.1216652618064498,-0.476807355,1.0313950842948127,0.1725841205299332,-0.044612353,-0.098063215,0.2843752628952368,-1.039946562,-0.809911398,0.1102615656334797,-0.184945267,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_14237_EGFR.pdbqt,-10,Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCOC5)cc4)sc23)cc1Cl,2.8135441324054886,1.691597522545451,1.5474027615595147,2.373616025683014,0.0478142897437302,-0.649871672,-0.501357086,1.0228973220991364,-0.417544816,0.3206144767294281,-0.190057165,0.2642877822243186,-0.533767227,-1.247266995,-0.269215393,-0.025424429,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_17743_EGFR.pdbqt,-7.6,C=C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,3.616228252211021,0.8207456582068449,-0.519363303,2.3836872462618923,1.0187609015885313,-0.079152276,0.5386696592897456,-1.412982299,-0.44099834,-1.550674317,-0.630920568,0.9430702293898974,1.6543821063582755,0.1833127773011555,-0.439007902,-0.526946777,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_18594_EGFR.pdbqt,-7.5,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCOCC2)C(=O)CO4)c1,3.0022200751244448,1.0869658189312033,0.8583778037297588,-0.017957137,2.3291778804435497,2.872400742485639,-1.189204486,1.2682103364854735,0.486043656202078,-0.150316855,-0.869851989,-0.503030419,-0.374014109,-0.042701906,-0.317304514,-1.256011609,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_20692_EGFR.pdbqt,-6.8,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NOC(=O)CN1CB-OC1,3.204520408184731,-0.157167313,-0.068959827,-1.149846131,0.9987823603451657,2.107184500831845,0.6450089277811984,-0.652451357,0.0563649148733889,-0.520654808,1.2585368708985625,-0.125503698,-0.006052568,0.1833319781232298,-0.551433068,0.2077358288429193,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
out_21744_EGFR.pdbqt,-8.2,C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCO4)c1,2.7713207806574065,0.6975810560293774,0.8895060216571582,-0.456683415,0.5099517921186951,1.803237010863114,-1.48661284,-0.787154843,0.5844694787116715,-0.278830524,-1.119878571,1.408096952838347,1.8616330002844872,-0.055538787,-0.878210866,-0.357207226,0,0,0,0,0,0,0,0,0,0,0,0,3.5249999999999995
