SMILE,QED
C1=2C=C(SC=CC=C1CC=3N=C(N(C)C(C=3)=O)NC)C=CC=2,0.9461397464789286
C1=C(Cl)C=CN=CC=C(CNC(=O)C=2N=CC=NC=2)C=C1,0.9457687129826948
C(C1=C)(C(=CC=C1F)NC2=NC=CC3=NC(OC)=CN=C32)F,0.943800107233609
N#CC1=CC=C(C=C1)C2=CC(=CC=N2)C(C)C(C)NC(=N3)N3C,0.9430356316648304
C1(C=2C=CSC=2)CNC1OC3=CC=CC(=C34)C=CCN=C4,0.9427252968344012
C12(C(C=3C=C(C=CC=3)C4=CN=CN=C4)CCC(N)=N1)CCC2OC,0.9426943971412651
C1=CC=C(NC(=O)C2=NC=C(C=C2Cl)C#N)N=C1CCF,0.9416922115272768
FC1=CC(=CC(NC(=O)C2=CC=C(C#N)C=N2)=C1)C(C)F,0.9407215437284143
C(C=1C)(C2(N=C(OC2)N)C3COC3)=CC(C4=CC(=CC=C4)C#N)=CC=1,0.9362825827107182
O1C=NC(=C1)CNC2=C3SC(=N2)CCCSCC(C3C)=O,0.9359361413763233
C(F)(C=1N=C2C(OCC=3N=COC=3)=NC=1)C(C)NCC(C2)F,0.933606744147238
CCC=1C=CC=C(NC(=O)C2=CC=C(F)C=N2)C=1OF,0.933155264066084
C1(C(NC2=CC=C(F)C(=C2)C#N)C)N3C(C=CC(Cl)=C3)=N1,0.9326804754476729
C=1C=C2C=CC=1C(C)NCCC=C2C=C(N(S(=O)(C)=O)C)C,0.931406519875532
N=1C=C(C=CC=1C(NC=C2C=COCCCC2C)=O)OCl,0.9313093677758603
C1(F)=C(F)C(=CC1NC(C2=CC=C(Cl)C=N2)=O)C(C)F,0.9307667339059243
C1(C=CC(F)=C1F)C(C2)C(N(CC=3C=CC=CC=3)CCN2)=O,0.9306626619875906
C=12C=C(N=CC=13)C2(C=CF)C(=C3)C4(C(F)F)N=C(OCC4C)O,0.9299562600552931
FCC1=CC=C(C(C2(C3CC3(SC(=N2)N)COC)C)=C1)F,0.929582042399311
C12OCCC(C1=CC=C2)NC(=O)C3=CC=C(C=N3)SF,0.9294288199467138
C1(=CC=C(F)C(=C1)C2C(C2)OC(N3)=N3)C=C(C=4)N=CC(=CC=4)C#N,0.9294187272476095
C=1(C2=CC(=CC=C2F)NC(C3=NN(C=C3)C(F)F)=O)S(=O)C=1C,0.9292482675150532
C=1C=C(Cl)C=NC=1C(=O)NCN=C(C2F)C2C(F)=CC,0.9291349511357869
FC=1C(=NC=C(C=1)C#N)CCC=C(C2(C)C(F)CC(N)=N2)F,0.928959802013669
C1=C(CC2C(CC23)CCC(C3=O)(C)CNC(C)=O)C=CC=C1,0.9287569887207615
N=1COCC(CF)(N=1)C=2C=CC=C(C=2)N3C4C=NC=CC4C=CN3,0.9283686052796941
C=1C=CC(CF)=NC=1NC(C=2C(C)=CC(C#N)=CN=2)=O,0.9282395170206997
