SMILES,0,1,2,3,4,5,6,7,SR-MMP
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-0.047491227398683306,0.465967053928104,-0.5679807950417212,-0.6337993563896311,0.11150225399751262,0.6949616848674697,-0.10106837012309748,0.795810148558779,0.0
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O,0.4842864053289586,-0.5417925983269233,0.5051798354639238,-0.7371856117334865,0.36006833724194154,-0.9098963058416072,-0.5874751683864582,1.2901288043417296,0.0
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],-1.2558413488971052,-0.718022293596068,0.9926613300756799,-1.344323924186011,1.0046209231028105,1.3812383990460078,1.0928416014559201,-0.6978829488965976,0.0
CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,-1.1837035400288156,0.3595102934918507,-0.7515928285541944,0.39405033883587265,0.8386307545144772,0.128534163821939,1.1396882550067626,0.5253986433442692,0.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],-0.7107833383292951,-2.397002720460635,1.1064000237555087,-0.9457518867941699,0.035050964494565635,0.6705349576539817,0.18960806422856766,0.1073018565448391,0.0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,0.28389962129761825,2.247947782238307,1.2945713714616118,-1.2256753091066215,0.1423887895338722,-0.9031517041176104,-0.5407074393310067,1.2391038710641546,0.0
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F,-0.5051091603487148,-2.2050985362046105,1.1528620149116018,-0.5538767982339956,-0.04593082745834432,0.45813455297981676,-0.14951435573429397,-0.6105176319809348,0.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,-0.659822990045875,-2.3452147857377357,1.1151977119529708,-0.951970864707476,0.007646775386672939,0.6441818544477778,0.08479855147340787,-0.0065836899686681355,0.0
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],-0.7509773439107378,-2.3722190590950087,1.1067955332522879,-0.9861852003806416,0.0008148347844443606,0.7226346830239413,0.16132395206398664,0.03443367314089442,0.0
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],-0.7509773439107378,-2.3722190590950087,1.1067955332522879,-0.986185200380642,0.0008148347844446878,0.7226346830239407,0.16132395206398897,0.034433673140892865,0.0
