SMILES,0,1,2,3,4,5,6,7,NR-ER
Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,-0.20899118802929756,0.37247675156246324,-1.0336913226685345,-0.00871418393719381,-0.33349981799322476,-0.47542923443540125,0.9053039110820368,0.1763249331770583,0.0
COc1ccc2c(c1)OC(C)(C)[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,0.07382652116983597,1.7472933384077667,-0.7950135950519264,0.27192131324981694,-0.15968682156370753,-1.7188741814787627,0.35609659014498435,-0.7676730154940423,0.0
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-1.4171674301424502,-0.5819289514154281,-1.1489391264743194,-0.09552615203035326,0.21706144703945496,0.8345776657488608,0.7395473471090102,-0.5620002566405203,0.0
CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1,0.17193572625838263,-0.7291951095096777,-0.771794780999912,-0.10784287457144107,0.13266787046547857,-0.07319303190508626,0.2622196170796323,0.17768014931855947,0.0
CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-],-0.15675138717868184,-1.6081469487936122,1.2899356901531869,1.1530493639691342,0.05377754260290505,-1.2453388200429834,-0.24878866667258562,-0.5341595732273067,0.0
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,-0.45513994001164104,0.34370604330367943,2.1291440799800507,-0.5558147757421532,-0.36215474738355163,-0.979252324913548,-0.923953393301894,-0.4706448201990229,0.0
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl,-0.9613306362634609,0.7830916740554916,-0.42299622950650745,-1.0346265005998885,-0.8707645057136403,-0.693327099464503,0.7639677106544398,-0.6294982117612375,0.0
CCCCCCCCCCOCC(O)CN.Cl,0.04482836772910701,-1.3496860427484558,1.801637501304483,1.4176213267111788,0.5774110790419698,-0.8505542951071147,0.12726046336901084,-0.16236939020640387,0.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,-0.3584082825758988,-0.5385390976227812,0.047048854737181095,-0.13293982742542093,-0.44598419810539913,-0.40129836851475736,-0.301403852789559,-0.40396849612433366,0.0
Cc1cc(=O)oc2cc(N(C)C)ccc12,-0.42021806505461035,-0.7059847745738624,-0.4882859257778816,-0.4367976282963068,-0.5318783763238905,-0.3219665228327693,0.028263640674034373,-0.19664494620033574,0.0
