SMILE,QED
N#CC1C(NC2C=Nc3cccc(c3)OC2)C1c1ccccc1,0.9478493883805021
C1=CCC=NNC(CCc2ccccc2)c2cn(nn2)C=C1,0.946273537168475
COC1=CC2=C(Nc3cncc4ccccc34)N=CN=C=CC12,0.9461861230084121
Cc1ccc(C(C)N)cc1N1C=NCC(c2cccnc2)=N1,0.9457095661291158
CCOC(=O)Nc1cn(-c2cccnc2)c2c1C(=O)CCC2,0.9452980060359215
C1=NC=NCNC(c2ccccc2)CN1Cc1ccccc1,0.9446759711029252
Cc1ccc(S(=O)(=O)C(N)Cc2ccc(Cl)cc2)cc1,0.944283470341675
Cc1ccc(-c2ncnc3c2COCOCC(CCN)=C3)cc1,0.9434468306030824
COC1=Cc2ncnc(=CNc3ccc(F)c(Cl)c3)c2=C1C,0.9433257966793537
COC1=Cc2ncnc(=CNc3ccc(F)c(Cl)c3)c2=C1C,0.9433257966793537
CCCN1Cc2c(C(=O)Nc3ccccn3)cccc2C1=O,0.9429872640988548
O=C(Cc1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1,0.9429128040280621
N#Cc1cc(F)ccc1S(=O)C=Cc1cccc(O)c1,0.9427276717120907
Cc1ncnc2ccc(NC=CCN3CCCCC3=O)cc12,0.9422349393209726
COn1c(C2=CC=C(O)C2)cn(Cc2ccccc2C)c1=O,0.9419769314963633
Cc1ccc(C(=O)N2CCCCC2C)cc1Nc1ccncn1,0.9417311484828672
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(F)cc2)cc1,0.9414371181109075
COC1C=Cc2c(ncnc2Nc2ccc(F)c(Cl)c2)C1,0.9410023405742111
O=C(NCc1ccncc1)c1ncoc1C1=CC=CCC=C1,0.94078970321361
CC1=CC(NC(C)C)C=CN1c1nccc(-c2cccnc2)n1,0.9401645568275725
Cc1cscc1C1=C2CC(N1)C1=CC2C=C1Cn1ccnc1,0.9400076188354642
Cc1ccccc1C1CC(C2=C3C=C32)=NN1c1nc(O)cs1,0.9400006012783759
CCOC(=O)NC1=CC=C(Oc2ncnc3sccc23)C1,0.939614832199456
O=C(Nc1ccncc1)c1cbccc1OC(F)(F)F,0.9395828517417901
CN(C)c1ccccc1CNc1ncnc2c1C=CCN=N2,0.9395478809252743
CC1=NC2C=C1C(c1nc3ncccn3c1NC1CCCCC1)=C2,0.9394598356111746
O=C(Cc1ccccc1F)NS(=O)(=O)c1ccc(F)cc1,0.9392886673774157
CC(=O)C1C=c2ncnc(Nc3ccc(F)c(Cl)c3)c2=C1,0.9391326537395339
COc1ccc(CC(=O)NC(=O)S(=O)c2ccccc2)cc1,0.938780073790996
O=C(Nc1cc(-c2cccnc2)cc(C(F)(F)F)c1)C1=NC=C1,0.9387454557675559
COc1cc(OC)cc(-c2ccc3c(c2)NC(=O)C3C)c1,0.9384671733019365
Cn1ccnc1Sc1ccc(NC2C=CN=C2)cc1Cl,0.9381207197742657
COc1ccc2c(c1)N(c1cc(C)c(OC)c(OC)c1)NC=N2,0.9379954294196894
COc1ccc(Nc2cccnccncn2)cc1Cl,0.9377594050758549
COc1cc2ncc(C#N)c(NC3C=CC=CC3)c2cc1OC,0.9371156064834889
COC1=c2c(NC3CC3c3ccccc3)c(C#N)cnc2=CC1,0.9364532876009798
C=CNC1C=COC(c2nc3ccccc3s2)=CC=CO1,0.936446531365222
Oc1ccc(-c2ncncc2COC2CCOC2)cc1F,0.935642335844707
CCOC(=O)NC1=CCCC=C1Oc1ncnc2sccc12,0.9355364230690995
COc1ccc2c(c1)NC(C#N)=CN2C1CC1c1ccccc1,0.9354061493943538
CC(C=C1N=CC=C1Cc1nc2ccccc2s1)CN,0.9353856604315908
CN(C)C1=CC=NC1N1C=CC(c2nc3ccccc3s2)=CC1N,0.9353743187111209
